Freq (GHz), S11 Mag (dB), S11 Phase (deg), S12 Mag (dB), S12 Phase (deg), S21 Mag (dB), S21 Phase (deg), S22 Mag (dB), S22 Phase (deg)
1.119452736318407471e+00,-6.384521000000000335e+00,8.908593999999999369e+01,-2.565429999999999922e+01,-1.304062000000000126e+02,-2.572655999999999921e+01,-1.531250000000000000e+02,-4.914306999999999981e+00,1.734609000000000094e+02
1.129402985074626331e+00,-6.298828000000000316e+00,6.798828000000000316e+01,-2.556933000000000078e+01,-1.450781000000000063e+02,-2.555957000000000079e+01,-1.674531000000000063e+02,-4.891112999999999822e+00,1.661171999999999969e+02
1.139353233830845191e+00,-6.256103999999999665e+00,4.716405999999999921e+01,-2.555077999999999960e+01,-1.590937000000000126e+02,-2.544725999999999999e+01,1.790389999999999873e+02,-4.878173999999999566e+00,1.586484000000000094e+02
1.149303482587064051e+00,-6.165771000000000335e+00,2.683887000000000000e+01,-2.550096999999999881e+01,-1.733437999999999874e+02,-2.530858999999999881e+01,1.648671999999999969e+02,-4.849609000000000059e+00,1.512500000000000000e+02
1.159253731343282912e+00,-6.071044999999999803e+00,7.245360999999999940e+00,-2.545801000000000158e+01,1.731796999999999969e+02,-2.519238000000000000e+01,1.512500000000000000e+02,-4.817626999999999882e+00,1.436640999999999906e+02
1.169203980099501772e+00,-5.943114999999999704e+00,-1.217577999999999960e+01,-2.538867000000000118e+01,1.599296999999999969e+02,-2.502832000000000079e+01,1.377265999999999906e+02,-4.817383000000000415e+00,1.363515999999999906e+02
1.179154228855720632e+00,-5.875487999999999822e+00,-3.152049999999999841e+01,-2.527049999999999841e+01,1.471171999999999969e+02,-2.484471999999999881e+01,1.235664000000000016e+02,-4.780762000000000178e+00,1.287890999999999906e+02
1.189104477611939492e+00,-5.860107000000000177e+00,-5.052734000000000236e+01,-2.513573999999999842e+01,1.337890999999999906e+02,-2.476464999999999961e+01,1.099022999999999968e+02,-4.759765999999999941e+00,1.212225999999999999e+02
1.199054726368158352e+00,-5.810058999999999862e+00,-6.971873999999999683e+01,-2.497850999999999999e+01,1.203632999999999953e+02,-2.452343000000000117e+01,9.569530000000000314e+01,-4.749755999999999645e+00,1.138242000000000047e+02
1.209004975124377212e+00,-5.857421999999999684e+00,-8.895310999999999524e+01,-2.477344000000000079e+01,1.067421999999999969e+02,-2.440136000000000038e+01,8.194138999999999839e+01,-4.744385000000000296e+00,1.063944999999999936e+02
1.218955223880596073e+00,-5.864989999999999704e+00,-1.081875000000000000e+02,-2.452832000000000079e+01,9.369920999999999367e+01,-2.426855000000000118e+01,6.764843000000000472e+01,-4.748291000000000039e+00,9.850780000000000314e+01
1.228905472636814933e+00,-5.990234000000000059e+00,-1.276328000000000031e+02,-2.434277000000000157e+01,7.944920999999999367e+01,-2.410936999999999841e+01,5.390625000000000000e+01,-4.744385000000000296e+00,9.066796999999999684e+01
1.238855721393033793e+00,-6.057616999999999585e+00,-1.472812000000000126e+02,-2.414745999999999881e+01,6.549218000000000472e+01,-2.397070000000000078e+01,3.948828000000000316e+01,-4.699707000000000079e+00,8.330078000000000316e+01
1.248805970149252653e+00,-6.149169999999999803e+00,-1.675312999999999874e+02,-2.390820000000000078e+01,5.137695000000000078e+01,-2.387890000000000157e+01,2.577440999999999960e+01,-4.688476999999999784e+00,7.542968999999999369e+01
1.258756218905471513e+00,-6.201903999999999861e+00,1.719687000000000126e+02,-2.373632999999999882e+01,3.686131999999999920e+01,-2.377344000000000079e+01,1.145996000000000059e+01,-4.706055000000000099e+00,6.814453000000000316e+01
1.268706467661690374e+00,-6.257080000000000197e+00,1.512734000000000094e+02,-2.358983999999999881e+01,2.229101999999999961e+01,-2.357323999999999842e+01,-2.682129000000000207e+00,-4.713623000000000118e+00,6.048828000000000316e+01
1.278656716417909234e+00,-6.240967000000000375e+00,1.304453000000000031e+02,-2.352149000000000001e+01,7.856444999999999901e+00,-2.351367000000000118e+01,-1.651172000000000040e+01,-4.790039000000000158e+00,5.283592999999999762e+01
1.288606965174128094e+00,-6.259276999999999980e+00,1.098046999999999969e+02,-2.346483999999999881e+01,-6.131835999999999842e+00,-2.341309000000000040e+01,-3.058105000000000118e+01,-4.777832000000000079e+00,4.527539000000000158e+01
1.298557213930346954e+00,-6.189208999999999961e+00,8.883983999999999526e+01,-2.343358999999999881e+01,-2.019335999999999842e+01,-2.335155999999999921e+01,-4.439453000000000316e+01,-4.804443000000000019e+00,3.732421999999999684e+01
