Freq (Hz), Test Phi (deg), Test Theta (deg), Probe Phi (deg), S11 (db), S11 (deg), S12 (db), S12 (deg), S21 (db), S21 (deg), S22 (db), S22 (deg)
5.453600000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.749512000000000000e+01,-7.986718000000000472e+01,-8.466309000000000751e+00,-7.774218999999999369e+01,-7.106444999999999901e+00,-8.868750000000000000e+01,-1.441503999999999941e+01,4.883397999999999683e+01
5.465900000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.599121000000000059e+01,-1.195742000000000047e+02,-8.770507999999999527e+00,-1.487889999999999873e+02,-7.190673999999999566e+00,-1.596718999999999937e+02,-1.403417999999999921e+01,-5.191600999999999999e+01
5.478200000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.430127000000000059e+01,-1.596250000000000000e+02,-8.779296999999999684e+00,1.420546999999999969e+02,-7.359375000000000000e+00,1.302187000000000126e+02,-1.417041000000000039e+01,-1.474687999999999874e+02
5.490500000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.417821999999999960e+01,1.640781000000000063e+02,-8.716796999999999684e+00,6.959765000000000157e+01,-7.275878999999999763e+00,5.844727000000000317e+01,-1.551952999999999960e+01,9.510936999999999841e+01
5.502800000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.343065999999999960e+01,1.422343999999999937e+02,-9.222656000000000631e+00,-3.530762000000000178e+00,-7.727539000000000158e+00,-1.576024999999999920e+01,-1.311571999999999960e+01,-3.373631999999999920e+01
5.515100000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.108056999999999981e+01,1.095507999999999953e+02,-1.007128999999999941e+01,-7.505076999999999998e+01,-8.625977000000000672e+00,-8.642578000000000316e+01,-9.749022999999999328e+00,-1.314765999999999906e+02
5.527400000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-9.746582000000000079e+00,6.814843000000000472e+01,-1.092577999999999960e+01,-1.434062000000000126e+02,-9.262207000000000079e+00,-1.544921999999999969e+02,-8.011229999999999407e+00,1.482656000000000063e+02
5.539700000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-9.099121000000000237e+00,2.219335999999999842e+01,-1.161719000000000079e+01,1.516796999999999969e+02,-9.823242000000000473e+00,1.376562000000000126e+02,-7.411864999999999704e+00,7.486328000000000316e+01
5.552000000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-9.006347999999999132e+00,-2.730174999999999841e+01,-1.171875000000000000e+01,8.769140000000000157e+01,-1.018848000000000020e+01,7.252343000000000472e+01,-8.022460999999999842e+00,1.163146999999999931e+00
5.564300000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-9.455078000000000316e+00,-7.564843000000000472e+01,-1.094092000000000020e+01,2.175391000000000119e+01,-9.723145000000000593e+00,7.232910000000000394e+00,-1.039452999999999960e+01,-8.551171999999999684e+01
5.576600000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-9.794434000000000751e+00,-1.133281000000000063e+02,-1.034765999999999941e+01,-5.315039000000000158e+01,-9.191406000000000631e+00,-6.677733999999999526e+01,-1.252050999999999981e+01,1.472578000000000031e+02
5.588900000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-8.262207000000000079e+00,-1.487187000000000126e+02,-1.105077999999999960e+01,-1.270664000000000016e+02,-9.854003999999999763e+00,-1.406484000000000094e+02,-1.027294999999999980e+01,2.786815999999999960e+01
5.601200000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-7.050292999999999921e+00,1.702656000000000063e+02,-1.158984000000000059e+01,1.641953000000000031e+02,-1.031786999999999921e+01,1.505078000000000031e+02,-8.914063000000000514e+00,-6.245897999999999683e+01
5.613500000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-6.756592000000000375e+00,1.316014999999999873e+02,-1.185205000000000020e+01,9.245311999999999841e+01,-1.076854999999999940e+01,7.835545999999999367e+01,-8.388671999999999684e+00,-1.568750000000000000e+02
5.625800000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-6.562987999999999822e+00,9.445704000000000633e+01,-1.294384999999999941e+01,2.342773000000000039e+01,-1.192187999999999981e+01,9.979492000000000473e+00,-8.375977000000000672e+00,1.078593999999999937e+02
5.638100000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-6.768066000000000138e+00,5.638866000000000156e+01,-1.324901999999999980e+01,-3.853905999999999921e+01,-1.224219000000000079e+01,-5.230662999999999840e+01,-8.174315999999999249e+00,2.301269999999999882e+01
5.650400000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-7.196044999999999803e+00,1.834765000000000157e+01,-1.235399999999999920e+01,-1.075078000000000031e+02,-1.135351999999999961e+01,-1.204180000000000064e+02,-9.137207000000000079e+00,-7.064843000000000472e+01
5.662700000000000000e+09,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-7.166260000000000296e+00,-1.939160000000000039e+01,-1.257958999999999961e+01,1.758593999999999937e+02,-1.147509999999999941e+01,1.629140999999999906e+02,-1.119336000000000020e+01,1.635000000000000000e+02
